anio,concepto,rotulo,documento_origen,estado_financiero,pagina,nota,evidencia_linea,valor_pdf,valor_consolidado,coincide,estado,confianza
2023,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 19 8.231 7.978",8231,8231.0,True,ACEPTADO,ALTA
2024,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Pasivo Por Impuesto A Las Ganancias Corrientes, Neto 21 - 8.231",,,True,ACEPTADO,ALTA
2025,b_impuesto_corriente_pasivo,Impuesto corriente (pasivo),Estados Financieros_2025.pdf,,,,,,,,NO_ENCONTRADO,
2020,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,12.2,"Pasivo por impuesto diferido, neto 12.2 - 6.581",6581,6581.0,True,ACEPTADO,ALTA
2021,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,12.2,"Pasivo por impuesto diferido, neto 12.2 - 6.581",,,True,ACEPTADO,ALTA
2022,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Pasivo por impuesto diferido, neto - -",,,True,ACEPTADO,ALTA
2023,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2023.pdf,,,,,,,,NO_ENCONTRADO,
2024,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2024.pdf,,,,,,,,NO_ENCONTRADO,
2025,b_impuesto_diferido_pasivo,Impuesto diferido (pasivo),Estados Financieros_2025.pdf,,,,,,,,NO_ENCONTRADO,
2020,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros pasivos no financieros, neto 21 3.482 3.151",3151,3151.0,True,ACEPTADO,ALTA
2021,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros pasivos no financieros, neto 21 3.482 3.151",3482,3482.0,True,ACEPTADO,ALTA
2022,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros pasivos no financieros, neto 20 3.682 3.482",3682,3682.0,True,ACEPTADO,ALTA
2023,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2023.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros pasivos no financieros, neto 20 4.595 3.682",4595,4595.0,True,ACEPTADO,ALTA
2024,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2024.pdf,ESTADO DE SITUACIÓN FINANCIERA,2,,"Otros pasivos no financieros, neto 22 4.422 4.595",4422,4422.0,True,ACEPTADO,ALTA
2025,b_otros_pasivos_no_financieros,Otros pasivos no financieros,Estados Financieros_2025.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,"Otros pasivos no financieros, neto 21 5.941 4.422",5941,5941.0,True,ACEPTADO,ALTA
2020,b_pasivo_total,Total pasivos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos 65.398 66.005,66005,66005.0,True,ACEPTADO,ALTA
2021,b_pasivo_total,Total pasivos,Estados Financieros_2021.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos 65.398 66.005,65398,65398.0,True,ACEPTADO,ALTA
2022,b_pasivo_total,Total pasivos,Estados Financieros_2022.pdf,ESTADO DE SITUACIÓN FINANCIERA,1,,Total de pasivos $ 71.498 $ 65.398,71498,71498.0,True,ACEPTADO,ALTA
