grupo,check,anio,formula,izquierda,derecha,diferencia_abs,diferencia_rel,estado
K_WACC_Fase7,WACC recalculado = fase7,2022,WACC = Kd*(1-T)*wd + ROIC*we,0.682552,0.682552,-0.0,-1e-06,ACEPTADO
K_WACC_Fase7,Tasa Art. 240 vs tasa fase7,2022,T_ART240(2022)=0.30 (Ley 2010) vs T_FASE7/taxonomia=0.35,0.3,0.35,-0.04999999999999999,,DUDOSO
K_WACC_Fase7,WACC recalculado = fase7,2023,WACC = Kd*(1-T)*wd + ROIC*we,0.331181,0.331181,-0.0,-1e-06,ACEPTADO
K_WACC_Fase7,WACC recalculado = fase7,2024,WACC = Kd*(1-T)*wd + ROIC*we,0.220066,0.220066,-0.0,-1e-06,ACEPTADO
K_WACC_Fase7,WACC recalculado = fase7,2025,WACC = Kd*(1-T)*wd + ROIC*we,0.360281,0.360281,-0.0,-1e-06,ACEPTADO
J_RONA,RONA id35 coincide con ROIC id34 (base = capital invertido),2021,id35 usa mismo denominador (capital invertido proxy arrendamiento) => numeros identicos | OBSERVACION: RONA canonica (03_INDICADORES) = NOPAT/capital_empleado (deuda+patrimonio); motor usa capital_invertido,0.769098,0.769098,0.0,0.0,DUDOSO
J_RONA,RONA id35 coincide con ROIC id34 (base = capital invertido),2022,id35 usa mismo denominador (capital invertido proxy arrendamiento) => numeros identicos | OBSERVACION: RONA canonica (03_INDICADORES) = NOPAT/capital_empleado (deuda+patrimonio); motor usa capital_invertido,0.696987,0.696987,0.0,0.0,DUDOSO
J_RONA,RONA id35 coincide con ROIC id34 (base = capital invertido),2023,id35 usa mismo denominador (capital invertido proxy arrendamiento) => numeros identicos | OBSERVACION: RONA canonica (03_INDICADORES) = NOPAT/capital_empleado (deuda+patrimonio); motor usa capital_invertido,0.336844,0.336844,0.0,0.0,DUDOSO
J_RONA,RONA id35 coincide con ROIC id34 (base = capital invertido),2024,id35 usa mismo denominador (capital invertido proxy arrendamiento) => numeros identicos | OBSERVACION: RONA canonica (03_INDICADORES) = NOPAT/capital_empleado (deuda+patrimonio); motor usa capital_invertido,0.223575,0.223575,0.0,0.0,DUDOSO
J_RONA,RONA id35 coincide con ROIC id34 (base = capital invertido),2025,id35 usa mismo denominador (capital invertido proxy arrendamiento) => numeros identicos | OBSERVACION: RONA canonica (03_INDICADORES) = NOPAT/capital_empleado (deuda+patrimonio); motor usa capital_invertido,0.365617,0.365617,0.0,0.0,DUDOSO
