variable_madre_id,cuenta_puc,concepto_src,indicador(es)_que_la_usan,fuente_esperada,tipo_variable,formula_calculo,tipo_dato,valores_posibles,regla_diseno,requerimiento_id
utilidades_retenidas,pendiente,b_utilidad_ejercicios_anteriores,,estados,primaria,,cuantitativo,,,REQ-UTILIDADES_RETENIDAS
ajustes_ncif,pendiente,b_efecto_ncif,,estados,primaria,,cuantitativo,,,REQ-AJUSTES_NCIF
ori_acumulado,pendiente,b_ori_valorizacion,,estados,primaria,,cuantitativo,,,REQ-ORI_ACUMULADO
patrimonio,Patrimonio,b_patrimonio_total,7 | 9 | 10 | 11 | 14 | 32 | 64 | 65,estados,primaria,,cuantitativo,,,REQ-PATRIMONIO
subtotal_calculado,pendiente,b_total_pasivo_patrimonio,,estados,primaria,,cuantitativo,,,REQ-SUBTOTAL-B_TOTAL_PASIVO_PATRIMONIO
ingresos_operacionales,pendiente,i_comisiones,,estados,primaria,,cuantitativo,,,REQ-INGRESOS_OPERACIONALES
ingresos_operacionales,pendiente,i_ingresos_operaciones_conjuntas,,estados,primaria,,cuantitativo,,,REQ-INGRESOS_OPERACIONALES
ingresos_operacionales,Ingresos_operacionales,i_utilidad_bruta,15 | 16 | 17 | 18 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 34 | 35 | 39 | 40 | 41 | 50 | 51 | 53 | 55 | 56 | 57 | 58 | 59 | 63 | 65,estados,primaria,,cuantitativo,,,REQ-INGRESOS_OPERACIONALES
obligaciones_laborales,pendiente,i_gasto_beneficios,24 | 25 | 27 | 28 | 34 | 35 | 40 | 41 | 50 | 51 | 53 | 55 | 56 | 58 | 59,estados,primaria,,cuantitativo,,,REQ-OBLIGACIONES_LABORALES
gastos_administracion,Gastos_de_administracion,i_gastos_administracion,24 | 25 | 27 | 28 | 34 | 35 | 40 | 41 | 50 | 51 | 53 | 55 | 56 | 58 | 59,estados,primaria,,cuantitativo,,,REQ-GASTOS_ADMINISTRACION
gastos_administracion,pendiente,i_gastos_operaciones_conjuntas,24 | 25 | 27 | 28 | 34 | 35 | 40 | 41 | 50 | 51 | 53 | 55 | 56 | 58 | 59,estados,primaria,,cuantitativo,,,REQ-GASTOS_ADMINISTRACION
deterioro_cuentas_por_cobrar,pendiente,i_deterioro_cxc,24 | 25 | 27 | 28 | 34 | 35 | 40 | 41 | 50 | 51 | 53 | 55 | 56 | 58 | 59,estados,primaria,,cuantitativo,,,REQ-DETERIORO_CUENTAS_POR_COBRAR
depreciaciones,pendiente,i_depreciaciones,24 | 28 | 41 | 50 | 51 | 53 | 55 | 56 | 58,estados,primaria,,cuantitativo,,,REQ-DEPRECIACIONES
amortizaciones,pendiente,i_amortizaciones,24 | 28 | 41 | 50 | 51 | 53 | 55 | 56 | 58,estados,primaria,,cuantitativo,,,REQ-AMORTIZACIONES
subtotal_calculado,pendiente,i_resultado_despues_gastos,,estados,primaria,,cuantitativo,,,REQ-SUBTOTAL-I_RESULTADO_DESPUES_GASTOS
resultado_financiero,pendiente,i_resultado_financiero_neto,,estados,primaria,,cuantitativo,,,REQ-RESULTADO_FINANCIERO
